stock,open,high,low,close,timestampStockI,285.12,738.83,5.72,382.12,2025-04-23 08:03:24.933854447
StockF,178.61,984.63,111.5,290.49,2025-04-23 08:03:25.433854447
StockH,391.65,940.84,138.26,392.04,2025-04-23 08:03:26.433854447
StockV,587.59,839.29,34.12,709.31,2025-04-23 08:03:27.933854447
StockM,679.4,744.44,582.43,737.88,2025-04-23 08:03:29.933854447
StockA,622.99,992.52,206.33,724.23,2025-04-23 08:03:32.433854447
StockL,190.03,975.38,175.71,662.32,2025-04-23 08:03:35.433854447
StockR,506.18,938.27,444.44,547.72,2025-04-23 08:03:38.933854447
StockY,436.19,899.07,103.56,561.97,2025-04-23 08:03:42.933854447
StockB,172.55,630.51,76.33,184.66,2025-04-23 08:03:47.433854447
StockI,182.57,674.14,126.41,197.34,2025-04-23 08:03:52.433854447
StockZ,759.16,999.73,715.69,869.91,2025-04-23 08:03:57.933854447
StockN,536.25,920.18,403.43,916.04,2025-04-23 08:04:03.933854447
StockU,498.76,818.71,103.78,742.99,2025-04-23 08:04:10.433854447
StockW,429.65,982.33,220.3,844.33,2025-04-23 08:04:17.433854447
StockN,607.5,753.2,249.19,688.78,2025-04-23 08:04:24.933854447
StockV,164.28,399.68,32.98,233.67,2025-04-23 08:04:32.933854447
StockV,119.18,826.12,13.23,810.4,2025-04-23 08:04:41.433854447
StockY,280.85,866.39,44.34,768.33,2025-04-23 08:04:50.433854447
StockF,143.41,807.05,7.01,453.28,2025-04-23 08:04:59.933854447
StockU,519.57,700.08,509.53,522.03,2025-04-23 08:05:09.933854447
StockO,511.55,948.62,133.67,560.96,2025-04-23 08:05:20.433854447
StockL,383.96,871.95,120.48,604.7,2025-04-23 08:05:31.433854447
StockU,723.65,878.46,220.77,833.16,2025-04-23 08:05:42.933854447
StockT,546.82,764.79,331.01,622.8,2025-04-23 08:05:54.933854447
StockA,136.51,945.03,70.26,663.66,2025-04-23 08:06:07.433854447
StockL,870.56,997.87,506.95,950.08,2025-04-23 08:06:20.433854447
StockA,352.57,985.63,185.82,967.81,2025-04-23 08:06:33.933854447
StockL,564.59,699.52,347.46,600.68,2025-04-23 08:06:47.933854447
StockT,106.13,904.4,76.09,179.27,2025-04-23 08:07:02.433854447
StockE,223.59,900.88,220.4,227.16,2025-04-23 08:07:17.433854447
StockP,316.87,986.25,275.2,422.61,2025-04-23 08:07:32.933854447
StockT,117.59,969.4,31.49,159.59,2025-04-23 08:07:48.933854447
StockM,122.11,576.29,84.69,550.91,2025-04-23 08:08:05.433854447
StockS,499.49,740,182.6,651.44,2025-04-23 08:08:22.433854447
StockW,474.17,745.86,179.64,553.91,2025-04-23 08:08:39.933854447
StockA,420.33,718.77,222.34,590.02,2025-04-23 08:08:57.933854447
StockD,379.61,753.6,211.39,408.17,2025-04-23 08:09:16.433854447
StockD,540.7,986.44,460.89,691.33,2025-04-23 08:09:35.433854447
StockS,739.46,906.22,626.08,752.89,2025-04-23 08:09:54.933854447
StockK,432.49,510.66,307.13,469.93,2025-04-23 08:10:14.933854447
StockV,303.51,579.22,131.91,517.59,2025-04-23 08:10:35.433854447
StockD,474.01,895.33,150.49,582.45,2025-04-23 08:10:56.433854447
StockP,330.83,792.15,69.05,635.91,2025-04-23 08:11:17.933854447
StockX,533.9,880.21,362.52,788.89,2025-04-23 08:11:39.933854447
StockL,786.13,929.86,455.83,816.75,2025-04-23 08:12:02.433854447
StockY,201.19,643.61,16.39,431.45,2025-04-23 08:12:25.433854447
StockV,458.37,483.56,110.49,477.73,2025-04-23 08:12:48.933854447
StockZ,494.72,862.38,482.36,640.16,2025-04-23 08:13:12.933854447
StockV,521.97,930.06,96.4,684.56,2025-04-23 08:13:37.433854447
StockA,380.28,791.74,312.71,487.53,2025-04-23 08:14:02.433854447
StockP,567.48,855.89,562.08,800.46,2025-04-23 08:14:27.933854447
StockD,424,858.41,200.49,561.43,2025-04-23 08:14:53.933854447
StockG,774.74,850.98,638.57,790.16,2025-04-23 08:15:20.433854447
StockR,319.57,999.74,311.75,401.79,2025-04-23 08:15:47.433854447
StockN,186.48,495.37,83.94,386.63,2025-04-23 08:16:14.933854447
StockV,582.43,792.8,301.97,629.21,2025-04-23 08:16:42.933854447
StockH,866.31,994.48,138.51,905.26,2025-04-23 08:17:11.433854447
StockI,350.36,733.62,306.16,589.68,2025-04-23 08:17:40.433854447
StockW,326.47,965.78,107.11,713.27,2025-04-23 08:18:09.933854447
StockZ,248.29,924.2,99.09,708.85,2025-04-23 08:18:39.933854447
StockG,402.18,913.16,309.72,547.35,2025-04-23 08:19:10.433854447
StockQ,418.82,954.26,323.82,727.24,2025-04-23 08:19:41.433854447
StockM,454.56,881.72,145.67,860.22,2025-04-23 08:20:12.933854447
StockW,568.93,924.24,240.94,913.03,2025-04-23 08:20:44.933854447
StockR,816.21,997.41,30.33,963.73,2025-04-23 08:21:17.433854447
StockH,375.06,702.8,240.05,675.89,2025-04-23 08:21:50.433854447
StockS,215.49,694.9,70.24,688.85,2025-04-23 08:22:23.933854447
StockF,486.25,970.83,272.79,861.06,2025-04-23 08:22:57.933854447
StockU,117.62,963.66,26.03,246.27,2025-04-23 08:23:32.433854447
StockD,311.5,728.51,259.5,334.64,2025-04-23 08:24:07.433854447
StockK,424.93,759.81,322.49,640.74,2025-04-23 08:24:42.933854447
StockQ,376.37,977.83,96.11,377.48,2025-04-23 08:25:18.933854447
StockD,390.4,600.47,293.28,554.49,2025-04-23 08:25:55.433854447
StockE,296.56,923.71,204.49,511.18,2025-04-23 08:26:32.433854447
StockA,291.12,716.16,181.42,589.53,2025-04-23 08:27:09.933854447
StockS,268.98,937.74,100.17,696.18,2025-04-23 08:27:47.933854447
StockS,150.8,509.05,148.49,228.36,2025-04-23 08:28:26.433854447
StockL,121.75,531.95,4.77,154.01,2025-04-23 08:29:05.433854447
StockV,416.51,818.96,173.36,428.43,2025-04-23 08:29:44.933854447
StockD,472.93,612.18,302.93,511.29,2025-04-23 08:30:24.933854447
StockV,531.37,727.76,254.66,534.12,2025-04-23 08:31:05.433854447
StockC,392.81,807.75,26.36,713.24,2025-04-23 08:31:46.433854447
StockJ,742.59,850.34,524.96,773.27,2025-04-23 08:32:27.933854447
StockG,604.29,946.7,480.26,756.47,2025-04-23 08:33:09.933854447
StockD,267.09,672.19,10.4,419.05,2025-04-23 08:33:52.433854447
StockI,458.62,910.84,325.38,460.07,2025-04-23 08:34:35.433854447
StockM,217.68,811.6,18.52,775.6,2025-04-23 08:35:18.933854447
StockK,259.57,655.45,183.88,520.19,2025-04-23 08:36:02.933854447
StockT,453.03,749.97,422.33,607.74,2025-04-23 08:36:47.433854447
StockW,374.89,799.62,338.57,461.89,2025-04-23 08:37:32.433854447
StockU,256.3,713.98,6.54,325.12,2025-04-23 08:38:17.933854447
StockE,461.36,671.58,107,553.39,2025-04-23 08:39:03.933854447
StockD,537.64,918.15,427.46,813.52,2025-04-23 08:39:50.433854447
StockK,318.11,811.2,267.58,681.39,2025-04-23 08:40:37.433854447
StockE,516.83,865.34,113.77,686.1,2025-04-23 08:41:24.933854447
StockY,156.71,969.89,90.38,677.36,2025-04-23 08:42:12.933854447
StockH,161.44,470.06,52.59,435.76,2025-04-23 08:43:01.433854447
StockU,445.72,527.91,95.04,458.2,2025-04-23 08:43:50.433854447
StockC,699.44,927.33,51.16,854.11,2025-04-23 08:44:39.933854447
StockB,421.74,815.64,79.61,717.77,2025-04-23 08:45:29.933854447
StockE,294.19,970.73,140.2,811.96,2025-04-23 08:46:20.433854447
StockZ,294.48,843.2,6.71,459.97,2025-04-23 08:47:11.433854447
StockP,366.6,414.79,70.75,380.62,2025-04-23 08:48:02.933854447
