stock,open,high,low,close,timestamp
StockO,395.8,932.33,149.72,617.47,2025-04-25 06:39:16.905995563
StockA,651.03,906.51,358.31,892.34,2025-04-25 06:39:17.405995563
StockE,647.18,921.9,356.16,710.57,2025-04-25 06:39:17.905995563
StockP,400.23,989.5,327.44,624.46,2025-04-25 06:39:18.405995563
StockW,332.95,950.68,275.51,898.62,2025-04-25 06:39:18.905995563
StockE,254.51,926.1,186.09,921.29,2025-04-25 06:39:19.405995563
StockM,387.89,463.13,266.65,427.85,2025-04-25 06:39:19.905995563
StockS,308.96,868.51,198.38,794.28,2025-04-25 06:39:20.405995563
StockJ,183.49,519.33,137.65,279.34,2025-04-25 06:39:20.905995563
StockX,159.6,689.29,119.87,252.5,2025-04-25 06:39:21.405995563
StockB,699.96,837.8,54.08,761.98,2025-04-25 06:39:21.905995563
StockH,460.56,831.41,265.08,548.41,2025-04-25 06:39:22.405995563
StockG,329.62,946.61,46.56,394.4,2025-04-25 06:39:22.905995563
StockY,639.4,935.78,450.78,663.84,2025-04-25 06:39:23.405995563
StockN,64.66,282.67,13.69,270.2,2025-04-25 06:39:23.905995563
StockD,495.19,782.36,24.47,774.32,2025-04-25 06:39:24.405995563
StockS,83.37,784.34,55.8,273.64,2025-04-25 06:39:24.905995563
StockE,295.73,824.87,210.66,439.23,2025-04-25 06:39:25.405995563
StockW,557.59,596.94,407.23,588.09,2025-04-25 06:39:25.905995563
StockV,244.81,754.4,24.5,636.17,2025-04-25 06:39:26.405995563
StockR,776.77,895.85,199.72,807.71,2025-04-25 06:39:26.905995563
StockU,467.07,719.27,5.9,650.04,2025-04-25 06:39:27.405995563
StockM,493.46,699.79,460.24,659.96,2025-04-25 06:39:27.905995563
StockY,365.38,906.73,117.99,487.23,2025-04-25 06:39:28.405995563
StockR,226.8,846.12,5.91,475.96,2025-04-25 06:39:28.905995563
StockF,567.8,878.49,427.63,855.09,2025-04-25 06:39:29.405995563
StockA,657.62,966.54,151.76,750.48,2025-04-25 06:39:29.905995563
StockZ,509.81,934.69,273.78,777.17,2025-04-25 06:39:30.405995563
StockN,388.4,971.66,108.47,689.63,2025-04-25 06:39:30.905995563
StockK,487.49,616.82,49.33,562.69,2025-04-25 06:39:31.405995563
StockW,884.51,971.29,559.45,890.48,2025-04-25 06:39:31.905995563
StockZ,677.57,992.06,626.32,817.73,2025-04-25 06:39:32.405995563
StockX,463.15,720.74,273.1,500.85,2025-04-25 06:39:32.905995563
StockY,493.28,940.03,344.95,594.56,2025-04-25 06:39:33.405995563
StockW,175.74,987.14,163.72,873.2,2025-04-25 06:39:33.905995563
StockA,755.31,935.17,172.52,759.39,2025-04-25 06:39:34.405995563
StockI,136.93,451.64,43.35,366.82,2025-04-25 06:39:34.905995563
StockF,281.56,602.02,60.8,498.82,2025-04-25 06:39:35.405995563
StockR,191.71,988.42,142.87,696.59,2025-04-25 06:39:35.905995563
StockI,926.54,989.62,310.76,952.56,2025-04-25 06:39:36.405995563
StockE,248.02,737.94,144.31,651.25,2025-04-25 06:39:36.905995563
StockJ,192.46,850.05,61.5,437.67,2025-04-25 06:39:37.405995563
StockO,522.04,878.89,144.1,609.68,2025-04-25 06:39:37.905995563
StockP,424.63,617.03,7.15,453.41,2025-04-25 06:39:38.405995563
StockV,369.68,441.26,81.26,388.59,2025-04-25 06:39:38.905995563
StockL,662,800.07,256.55,723.5,2025-04-25 06:39:39.405995563
StockO,251.48,880.28,7.51,464.66,2025-04-25 06:39:39.905995563
StockZ,547.19,963.21,35.34,721.11,2025-04-25 06:39:40.405995563
StockK,152.22,701.32,118.22,295.76,2025-04-25 06:39:40.905995563
StockH,103.59,478.81,25.53,376.92,2025-04-25 06:39:41.405995563
StockU,415.35,895.73,203.25,694.17,2025-04-25 06:39:41.905995563
StockU,240.04,982.62,181.38,468.59,2025-04-25 06:39:42.405995563
StockW,465.04,866.89,319.81,812.18,2025-04-25 06:39:42.905995563
StockQ,500.86,962.91,225.7,813.26,2025-04-25 06:39:43.405995563
StockI,812.07,865.14,174.26,837.16,2025-04-25 06:39:43.905995563
StockI,160.16,935.95,80.96,455.49,2025-04-25 06:39:44.405995563
StockE,355.81,937.39,171.7,554.31,2025-04-25 06:39:44.905995563
StockH,481.48,861.99,383.17,806.34,2025-04-25 06:39:45.405995563
StockW,396.53,541.91,323.17,441.3,2025-04-25 06:39:45.905995563
StockK,748.57,880.99,302.47,830.08,2025-04-25 06:39:46.405995563
StockE,500.2,681.56,433.12,542.89,2025-04-25 06:39:46.905995563
StockV,183.24,695.72,178.3,529.52,2025-04-25 06:39:47.405995563
StockI,331.32,977.18,163.22,610.28,2025-04-25 06:39:47.905995563
StockO,453.74,655.74,149.37,469.39,2025-04-25 06:39:48.405995563
StockA,52.5,509.57,49.24,101.52,2025-04-25 06:39:48.905995563
StockN,745.84,973.21,101.61,787.25,2025-04-25 06:39:49.405995563
StockE,479.7,751.85,51.09,534.87,2025-04-25 06:39:49.905995563
StockT,558.42,782.04,125.63,589.11,2025-04-25 06:39:50.405995563
StockO,463.1,549.43,446.91,536.12,2025-04-25 06:39:50.905995563
StockA,341.95,529.29,159.85,407.61,2025-04-25 06:39:51.405995563
StockF,118.64,893.44,107.6,562.84,2025-04-25 06:39:51.905995563
StockZ,497.26,769.92,220.33,621.56,2025-04-25 06:39:52.405995563
StockM,655.96,940.08,370.27,664.03,2025-04-25 06:39:52.905995563
StockW,331.12,709.2,284.8,396.6,2025-04-25 06:39:53.405995563
StockZ,150.82,990.96,107.06,638.87,2025-04-25 06:39:53.905995563
StockP,595.39,963.8,523.08,962.43,2025-04-25 06:39:54.405995563
StockL,331.28,997.34,47.83,871.91,2025-04-25 06:39:54.905995563
StockU,450.21,856.02,99.1,611.91,2025-04-25 06:39:55.405995563
StockI,370.55,974.34,158.03,655.02,2025-04-25 06:39:55.905995563
StockL,764.21,862.94,702.93,815.57,2025-04-25 06:39:56.405995563
StockY,137.87,723.29,46.55,257.49,2025-04-25 06:39:56.905995563
StockI,114.81,479.91,46.97,271.79,2025-04-25 06:39:57.405995563
StockH,266.34,982.48,50.88,453,2025-04-25 06:39:57.905995563
StockQ,377.95,499.91,73.34,432.49,2025-04-25 06:39:58.405995563
StockG,611.45,964.45,483.56,741.66,2025-04-25 06:39:58.905995563
StockA,133.58,353.92,95.28,211.26,2025-04-25 06:39:59.405995563
StockP,638.3,933.45,181.44,919.56,2025-04-25 06:39:59.905995563
StockE,225.07,907.51,24.79,585.88,2025-04-25 06:40:00.405995563
StockG,372.83,656.62,10,563.21,2025-04-25 06:40:00.905995563
StockX,390.56,990.97,22.08,503.1,2025-04-25 06:40:01.405995563
StockS,147.32,594.84,126.11,287.24,2025-04-25 06:40:01.905995563
StockT,147.72,587.67,46.46,555.98,2025-04-25 06:40:02.405995563
StockQ,532.49,803.26,414.84,735.03,2025-04-25 06:40:02.905995563
StockQ,635.47,978.19,249.29,797.43,2025-04-25 06:40:03.405995563
StockU,150.66,947.89,29.88,732.51,2025-04-25 06:40:03.905995563
StockM,144.41,396.02,72.88,181,2025-04-25 06:40:04.405995563
StockP,254.17,897.39,225.53,751.55,2025-04-25 06:40:04.905995563
StockT,558.96,999.66,181.31,929.42,2025-04-25 06:40:05.405995563
StockS,573.02,798.47,41.3,588.65,2025-04-25 06:40:05.905995563
StockV,698.53,983.8,250.76,754.99,2025-04-25 06:40:06.405995563
StockH,400.37,896.45,106.45,404.99,2025-04-25 06:40:06.905995563
StockZ,352,931.48,14.25,394.41,2025-04-25 06:40:07.405995563
StockO,83.06,995.52,81.3,522.69,2025-04-25 06:40:07.905995563
StockR,307.62,800.97,113.65,519.29,2025-04-25 06:40:08.405995563
StockH,557.19,973.1,424.94,913.96,2025-04-25 06:40:08.905995563
StockY,665.2,793.93,354.7,679.4,2025-04-25 06:40:09.405995563
StockW,180.99,551.87,100.65,490.79,2025-04-25 06:40:09.905995563
StockI,556.03,878.27,349.56,734.82,2025-04-25 06:40:10.405995563
StockQ,268.93,766.94,71.8,598.53,2025-04-25 06:40:10.905995563
StockJ,507.89,796.73,436.88,735.84,2025-04-25 06:40:11.405995563
StockB,460.43,948.67,53.03,521.6,2025-04-25 06:40:11.905995563
StockB,208.16,494.96,193.61,405.09,2025-04-25 06:40:12.405995563
StockO,308.54,878.82,209.96,445.71,2025-04-25 06:40:12.905995563
StockA,86.75,668,57.61,356.73,2025-04-25 06:40:13.405995563
StockZ,649.06,851.73,357.09,696.34,2025-04-25 06:40:13.905995563
StockU,100.24,680.08,16.12,287.26,2025-04-25 06:40:14.405995563
StockM,496.81,723.05,410.82,643.26,2025-04-25 06:40:14.905995563
StockU,780.03,908.27,637.9,848.56,2025-04-25 06:40:15.405995563
StockW,105.79,509.27,64.49,106.96,2025-04-25 06:40:15.905995563
StockT,519.74,888.9,356.97,876.41,2025-04-25 06:40:16.405995563
StockY,218.89,721.54,48.76,381,2025-04-25 06:40:16.905995563
StockL,321.5,911.25,246.12,823.62,2025-04-25 06:40:17.405995563
StockG,554.34,721.22,318.21,657.72,2025-04-25 06:40:17.905995563
StockW,277.49,817.73,209.5,560,2025-04-25 06:40:18.405995563
StockW,97.42,691.65,19.11,329.78,2025-04-25 06:40:18.905995563
StockW,347.99,955.91,237.72,378.13,2025-04-25 06:40:19.405995563
StockK,578.16,785.8,428.63,588.57,2025-04-25 06:40:19.905995563
StockC,206.2,888.43,181.41,436.93,2025-04-25 06:40:20.405995563
StockO,189.6,512.77,114.3,497.08,2025-04-25 06:40:20.905995563
StockH,287.98,614.13,70.89,331.77,2025-04-25 06:40:21.405995563
StockN,123.61,433.71,75.68,424.55,2025-04-25 06:40:21.905995563
StockK,520.03,653.19,439.26,609.74,2025-04-25 06:40:22.405995563
StockR,159.37,341.34,126.16,264.96,2025-04-25 06:40:22.905995563
StockG,614.35,770,256.12,652.55,2025-04-25 06:40:23.405995563
StockX,129.08,354.54,37.82,240.65,2025-04-25 06:40:23.905995563
StockO,660.94,994.6,392.18,836.05,2025-04-25 06:40:24.405995563
StockT,234.85,696.31,179.95,236.09,2025-04-25 06:40:24.905995563
StockE,344.17,963.99,127.62,563.42,2025-04-25 06:40:25.405995563
StockM,313.11,904.68,293.61,597.43,2025-04-25 06:40:25.905995563
StockL,85.85,759.7,16.27,232.78,2025-04-25 06:40:26.405995563
StockX,516.48,744.81,19.57,534.12,2025-04-25 06:40:26.905995563
StockB,133.54,936.64,86.9,851.39,2025-04-25 06:40:27.405995563
StockD,554.02,964.51,494.93,727.18,2025-04-25 06:40:27.905995563
StockZ,658.7,908.72,348.66,857.6,2025-04-25 06:40:28.405995563
StockC,441.26,845.75,273.98,704.2,2025-04-25 06:40:28.905995563
StockO,109.86,431.79,75.04,247.06,2025-04-25 06:40:29.405995563
StockW,270.77,664.8,188.61,479.39,2025-04-25 06:40:29.905995563
StockZ,139.32,981.9,96.47,638.32,2025-04-25 06:40:30.405995563
StockX,304.82,842.99,52.81,324.42,2025-04-25 06:40:30.905995563
StockZ,429.81,942.96,426.72,759.99,2025-04-25 06:40:31.405995563
StockN,212.31,620.35,34.04,319.29,2025-04-25 06:40:31.905995563
StockB,348.75,931.89,223.88,384.31,2025-04-25 06:40:32.405995563
StockD,102.21,932.03,16.21,724.76,2025-04-25 06:40:32.905995563
StockN,579.14,991.19,248.71,609.45,2025-04-25 06:40:33.405995563
StockV,763.15,926.46,558.83,775.42,2025-04-25 06:40:33.905995563
StockR,430.38,456.21,248.55,430.67,2025-04-25 06:40:34.405995563
StockP,173.27,441.49,16.43,344.11,2025-04-25 06:40:34.905995563
StockD,83.28,860.27,11.66,436.32,2025-04-25 06:40:35.405995563
StockS,565.53,718.79,287.76,604.76,2025-04-25 06:40:35.905995563
StockA,374.75,849.02,300.87,753.13,2025-04-25 06:40:36.405995563
StockQ,110.07,535.4,27.36,253.52,2025-04-25 06:40:36.905995563
StockW,304.49,843.9,135.58,344.75,2025-04-25 06:40:37.405995563
StockL,530.82,890.42,377.7,531.61,2025-04-25 06:40:37.905995563
StockE,50.61,227.84,26.49,195.07,2025-04-25 06:40:38.405995563
StockR,474.3,623.37,465.09,575.14,2025-04-25 06:40:38.905995563
StockB,746.04,809.31,49.65,787.2,2025-04-25 06:40:39.405995563
StockM,432.2,709.09,79.19,645.61,2025-04-25 06:40:39.905995563
StockK,597.2,837.75,127.97,700.73,2025-04-25 06:40:40.405995563
StockY,430.39,559.99,365.81,522.13,2025-04-25 06:40:40.905995563
StockS,166.44,969.26,130.5,293.83,2025-04-25 06:40:41.405995563
StockA,291.7,696.52,109.51,456.96,2025-04-25 06:40:41.905995563
StockK,409.65,871.31,285.32,662.2,2025-04-25 06:40:42.405995563
StockW,630.9,943.74,352.66,757.11,2025-04-25 06:40:42.905995563
StockS,494.67,756.16,149.8,567.6,2025-04-25 06:40:43.405995563
StockU,149.58,988.85,4.21,586.88,2025-04-25 06:40:43.905995563
StockL,580.44,897.49,524.38,772.35,2025-04-25 06:40:44.405995563
StockQ,589.01,846.78,527.07,612.74,2025-04-25 06:40:44.905995563
